score,pm_id,pm_title,pm_close,pm_category,pm_volume,kalshi_id,kalshi_title,kalshi_subtitle,kalshi_close,kalshi_category,kalshi_volume,both_have_prices,pm_url,verified,verified_by
100.0,1984336,Palantir total customers above 980 in Q1?,2026-05-05T01:45:36Z,Finance,1230.959993,KXPLTR-26MAYCUST-980,Will Palantir Technologies Inc. report above 980 total customers in Q1 2026?,Above 980,2026-05-05T01:01:36Z,Financials,3975.52,0,https://polymarket.com/market/palantir-total-customers-above-980-in-q1,1,claude-2026-07-10
100.0,1984338,Palantir total customers above 1020 in Q1?,2026-05-05T00:20:34Z,Finance,1064.044414,KXPLTR-26MAYCUST-1020,Will Palantir Technologies Inc. report above 1020 total customers in Q1 2026?,Above 1020,2026-05-05T01:11:32Z,Financials,59932.3,0,https://polymarket.com/market/palantir-total-customers-above-1020-in-q1,1,claude-2026-07-10
100.0,1984340,Palantir total customers above 1060 in Q1?,2026-05-05T00:21:34Z,Finance,2860.529053,KXPLTR-26MAYCUST-1060,Will Palantir Technologies Inc. report above 1060 total customers in Q1 2026?,above 1060,2026-05-05T01:19:06Z,Financials,13363.5,0,https://polymarket.com/market/palantir-total-customers-above-1060-in-q1,1,claude-2026-07-10
100.0,1653241,Will George Hornedo be the Democratic nominee for IN-07?,2026-05-06T02:23:44Z,Politics,2722.9699679999994,KXINPRIMARY-07D26-GHOR,Will George Hornedo be the Democratic nominee for IN-07?,George Hornedo,2026-05-06T01:20:01Z,Elections,6835.46,0,https://polymarket.com/market/will-george-hornedo-be-the-democratic-nominee-for-in-07,1,claude-2026-07-10
100.0,1653242,Will Destiny Scott Wells be the Democratic nominee for IN-07?,2026-05-06T03:14:02Z,Politics,1622.749824,KXINPRIMARY-07D26-DWEL,Will Destiny Wells be the Democratic nominee for IN-07?,Destiny Wells,2026-05-06T01:20:01Z,Elections,5649.87,0,https://polymarket.com/market/will-destiny-scott-wells-be-the-democratic-nominee-for-in-07,1,claude-2026-07-10
100.0,1653240,Will Denise Paul Hatch be the Democratic nominee for IN-07?,2026-05-06T02:23:46Z,Politics,8952.055734999994,KXINPRIMARY-07D26-DHAT,Will Denise Paul Hatch be the Democratic nominee for IN-07?,Denise Paul Hatch,2026-05-06T01:20:01Z,Elections,1676.98,0,https://polymarket.com/market/will-denise-paul-hatch-be-the-democratic-nominee-for-in-07,1,claude-2026-07-10
100.0,1731652,Will Steven Erbeck be the Republican nominee for OH-01?,2026-05-06T02:39:50Z,Politics,1163.3868559999999,KXOHPRIMARY-01R26-SERB,Will Steven Erbeck be the Republican nominee for OH-01?,Steven Erbeck,2026-05-06T02:02:37Z,Elections,7047.07,0,https://polymarket.com/market/will-steven-erbeck-be-the-republican-nominee-for-oh-01,1,claude-2026-07-10
100.0,1731650,Will Holly Adams be the Republican nominee for OH-01?,2026-05-06T02:38:02Z,Politics,1445.016,KXOHPRIMARY-01R26-HADA,Will Holly Adams be the Republican nominee for OH-01?,Holly Adams,2026-05-06T02:02:37Z,Elections,1602.6,0,https://polymarket.com/market/will-holly-adams-be-the-republican-nominee-for-oh-01,1,claude-2026-07-10
100.0,1731651,Will Eric Conroy be the Republican nominee for OH-01?,2026-05-06T02:37:58Z,Politics,14644.8367,KXOHPRIMARY-01R26-ECON,Will Eric Conroy be the Republican nominee for OH-01?,Eric Conroy,2026-05-06T02:02:37Z,Elections,7659.65,0,https://polymarket.com/market/will-eric-conroy-be-the-republican-nominee-for-oh-01,1,claude-2026-07-10
100.0,1663817,Will John Piper be the Republican nominee for IN-04?,2026-05-06T03:42:22Z,Politics,3855.8359320000013,KXINPRIMARY-04R26-JPIP,Will John Piper be the Republican nominee for IN-04?,John Piper,2026-05-06T02:50:19Z,Elections,2924.91,0,https://polymarket.com/market/will-john-piper-be-the-republican-nominee-for-in-04,1,claude-2026-07-10
